Language,String,Marathi,Hindi,Malayalam ,Nepali,Bengali,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu
Image 1,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,ह्या करोनाविषाणूची निर्मीती एखाद्या प्रयोगशाळेत झाली आहे.,कोरोना विषाणु को प्रयोगशाला में बनाया गया है।,നോവൽ കൊറോണ വൈറസ്  ഒരു ലാബിൽ നിർമ്മിച്ചതാണ്.,नोबेल कोरोना भाईरस प्रयोगशालामा बनाइएको हो ।,নভেল করোনা ভাইরাস পরীক্ষাগারে তৈরি।,નવલ કોરોના વાયરસ એક લેબમાં બનાવવામાં આવ્યો હતો.,ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਇਕ ਲੈਬ ਵਿਚ ਬਣਾਇਆ ਗਿਆ ਸੀ.,நாவல் கொரோனா வைரஸ் கோவிட் -19 செயற்கையாக ஆய்வகத்தில் உருவாக்கப்பட்டது.,"ନୋଭେଲ କରୋନା  ଭାଇରସ୍ ବୈଜ୍ଞାନିକ ପରୀକ୍ଷାଗାରରେ  ପ୍ରସ୍ତୁତ  କରାଯାଇଥିଲା ।
",ఈ కొత్త కరోనా వైరస్ ను ఒక ల్యాబ్ లో(ప్రయోగశాలలో) తయారు చేశారు.,ಹೊಸ ಕೊರೊನಾವೈರಸ್ ಅನ್ನು ಲ್ಯಾಬ್‌ನಲ್ಲಿ ಮಾಡಲಾಗಿದೆ.,নতুন কৰ’না ভাইৰাছ গবেষণাগাৰত তৈয়াৰ কৰা হৈছিল।,Їa u Novel Coronavirus la shna ha ka kamra pyrshang ne kamra wadbniah (lab).,یہ نیا کورونا وائرس ایک لیب میں بنا ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,"सर्व विषाणूंचे स्वरूप नैसर्गिकरित्या बदलत असते. संशोधकांनी हे दाखवून दिले आहे की, हा विषाणू देखील नैसर्गिकरित्याच एका दुसऱ्या करोनाविषाणूपासून उत्क्रांत झाला आहे. म्हणजेच तो मानवनिर्मित नाही.",सभी विषाणु अक्सर समय के साथ प्राकृतिक रूप से बदलते हैं। वैज्ञानिकों ने पता लगाया है कि इस विषाणु की उत्पत्ति भी प्रकृतिक रूप से ही पहले से मौजूद कोई औेर कोरोना विषाणु से हुई है।,"എല്ലാ വൈറസുകൾക്കും  ചുരുങ്ങിയ സമയത്തിനുള്ളിൽ തന്നെ സ്വാഭാവികമായി മാറ്റങ്ങൾ സംഭവിക്കാറുണ്ട്. മാത്രമല്ല ഈ വൈറസ്  മുൻപേ കണ്ടെത്തിയിട്ടുള്ള ചില കൊറോണ വൈറസുകളിൽ നിന്ന് സ്വാഭാവികമായി പരിണമിച്ചുണ്ടായതെന്ന് ഗവേഷകർ തെളിയിച്ചിട്ടുമുണ്ട്. അതിനാൽ, ഇത് ഒരു പ്രകൃതിജന്യമായ വൈറസാണ്, ആരും  നിർമിച്ചതല്ല.",सबै भाईरसहरु समयसंगै म्युटेसन मार्फत परिवर्तन हुन्छन । अनुसन्धानकर्ताहरुक अनुसार नोबेल कोरोना भाईरस पनि विश्वमा पहिल्यै अस्तित्वमा रहेको कोरोना भाईरसहरुबाट म्युटेसनमार्फत प्राकृतिक रुपमै बनेको हो । त्यसैले यो प्रयोगशालामा बनाएको नभई प्रकृतिमै बहेको हो ।,"সব ভাইরাসই সময়ের সাথে সাথে,  প্রাকৃতিক ভাবেই পরিব্যাক্তির মাধ্যমে পরিবর্তিত হয়। 
এক্ষেত্রেও গবেষকরা দেখিয়েছেন, এই ভাইরাসটি  প্রাকৃতিক ভাবে, আগেই উপস্থিত কোনো  একটি করোনা ভাইরাস প্রজাতির থেকে বিবর্তিত হয়েছে। অর্থাৎ, এর উৎস প্রাকৃতিক।","સમય જતાં બધા વાયરસ કુદરતી રીતે બદલાય છે. સંશોધનકારોએ બતાવ્યું છે કે આ વાયરસ પણ કોરોનાવાયરસના કેટલાક હાલના તાણથી કુદરતી રીતે વિકસિત થયો છે. આમ, તે કુદરતી મૂળ છે.","ਅਕਸਰ, ਵਾਇਰਸ ਪਰਿਵਰਤਨ ਦੁਆਰਾ ਸਮੇਂ ਦੇ ਨਾਲ ਕੁਦਰਤੀ ਤੌਰ ਤੇ ਬਦਲ ਜਾਂਦੇ ਹਨ. ਵਿਗਿਆਨੀਆਂ ਨੇ ਦਿਖਾਇਆ ਹੈ ਕਿ ਇਹ ਵਾਇਰਸ ਕੋਰੋਨਵਾਇਰਸ ਦੇ ਕੁਝ ਮੌਜੂਦਾ ਤਣਾਅ ਤੋਂ ਕੁਦਰਤੀ ਤੌਰ ਤੇ ਵਿਕਸਤ ਹੋਇਆ ਹੈ. ਇਸ ਲਈ ਇਹ ਕੁਦਰਤੀ ਮੂਲ ਦਾ ਹੈ.",காலப்போக்கில் தன்னியல்பாக அணைத்து வைரஸ்களிலும் இயற்கையாகவே திடீர் மரபணுமாற்றம் ஏற்பட்டு மாற்றம் வரும். ஏற்கனவே இருந்த ஒரு ரக கொரோனா வைரஸிலிருந்து தான் இந்த நாவல் கொரோனா வைரஸ் இயற்கையாக பரிணமித்துள்ளது என ஆய்வாளர்கள் சமீபத்தில் நிறுவியுள்ளனர். எனவே இந்த வைரஸ் இயற்கையில் பரிணமித்த ஒன்று தான்.,"ସମସ୍ତ ଭୂତାଣୁ ସମୟ ଅନୁସାର ସ୍ୱାଭାବିକ ଭାବରେ ପରିବର୍ତ୍ତନ ହୁଅନ୍ତି | ଗବେଷକମାନେ ଦର୍ଶାଇଛନ୍ତି ଯେ ଏହି ନୋଭେଲ କରୋନା ଭୁତାଣୁ ମଧ୍ୟ ପୁର୍ବ କରୋନା ଭୂତାଣୁ ମାନଙ୍କଠାରୁ ପ୍ରାକୃତିକ ଭାବରେ ବିବର୍ତ୍ତିତ ହୋଇଥିଲା । ତେଣୁ, ଏହାର ଉତ୍ପତ୍ତି ପ୍ରାକୃତିକ ଅଟେ ।","ఉత్పరివర్తనాల ద్వారా అన్ని వైరసులు సహజంగానే కాలక్రమేణా మారతాయి. ఇప్పటికే ఉన్న కరోనా వైరసులు నుంచి ఈ కొత్త వైరస్ కూడా సహజంగానే తయారు అయ్యింది అని పరిశోధకులు తెలుపుతున్నారు. అందువలన, ఇది సహజ మూలం.","ಎಲ್ಲಾ ವೈರಸ್‌ಗಳು ರೂಪಾಂತರಗಳ ಮೂಲಕ ಕಾಲಾನಂತರದಲ್ಲಿ ಸ್ವಾಭಾವಿಕವಾಗಿ ಬದಲಾಗುತ್ತವೆ. ಈ ವೈರಸ್ ಸಹ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಕೆಲವು ಕೊರೊನಾವೈರಸ್ನಿಂದ ನೈಸರ್ಗಿಕವಾಗಿ ವಿಕಸನಗೊಂಡಿದೆ ಎಂದು ಸಂಶೋಧಕರು ತೋರಿಸಿದ್ದಾರೆ. ಆದ್ದರಿಂದ, ಇದರ ಮೂಲ ನೈಸರ್ಗಿಕವಾಗಿದೆ.","প্রত্যেক ভাইৰাছে প্ৰাকৃতিকভাৱে ভাবে সময়ৰ সৈতে মিউটেচন নামৰ এবিধ প্ৰক্ৰিয়াৰে সলনি হয়। গবেষক সকলে দেখুৱাইছে যে এই ভাইৰাছ বিধেও প্ৰাকৃতিক ভাবে বিকশিত হৈছে পুৰণি কৰ’না ভাইৰাছৰ পৰাই। গতিকে, ই প্ৰাকৃতিক, কৃত্ৰিম  নহয়।",Baroh ki virus ki kylla hi katkum ka por lyngba ka jingkylla dur. Ki ‘riew wadbniah ki shem ba une u virus ruh u mih bad kylla dur hi suki suki na ka jingpang corona. Kumta u dei uba shu mih hi.,تمام وائرسیس میں تغیر کی وجہ سے قدرتی طور پرتبدیلی ہوتی رہتی ہے۔محقق نے معلوم کیا ہے کہ اس وائرس کا ارتقاء قدرتی طور پرپہلے سے موجود کورونا وائرس میں ہوتا رہا ہے۔ اس طرح سے یہ اسکی قدرتی فطرت ہے۔
Image 2,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,తీర్పు:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,होमिओपॅथिक किंवा आयुर्वेदिक औषधांच्या सहाय्याने करोनापासून बचाव शक्य आहे.,होमियोपैथी और / या आयुर्वैदिक दवाइयाँ मुझे इस विषाणु से सुरक्षित रखेंगी। ,ഹോമിയോപ്പതി/ആയുർവേദ മരുന്നുകൾ ഈ വൈറസിൽ നിന്ന് എന്നെ സംരക്ഷിക്കും.,होमियोप्याथिक र/वा आयुर्वेदिक औषधिले मलाई यस भाईरसबाट रक्षा गर्छ/ बचाउछ।,হোমিওপ্যাথি এবং/ অথবা আয়ুর্বেদিক ওষুধ এই ভাইরাসের থেকে আমাদের রক্ষা করবে। ,હોમિયોપેથિક અને / અથવા આયુર્વેદિક દવાઓ મને આ વાયરસથી સુરક્ષિત કરશે.,ਹੋਮੀਓਪੈਥਿਕ ਜਾਂ ਆਯੁਰਵੈਦਿਕ ਦਵਾਈਆਂ ਮੈਨੂੰ ਇਸ ਵਾਇਰਸ ਤੋਂ ਬਚਾਉਣਗੀਆਂ.,ஹோமியோபதி மற்றும் / அல்லது ஆயுர்வேத மருந்துகள் இந்த வைரஸிலிருந்து என்னைப் பாதுகாக்கும்.,"ହୋମିଓପାଥିକ୍ କିମ୍ବା ଆୟୁର୍ବେଦିକ ଔଷଧ ମୋତେ ଏହି ଭୂତାଣୁରୁ ରକ୍ଷା କରିବ ।",హోమియోపతి మరియు/లేదా ఆయుర్వేద ఔషధాలు ఈ వైరస్ నుండి మనల్ని రక్షిస్తాయి.,ಹೋಮಿಯೋಪತಿ ಮತ್ತು / ಅಥವಾ ಆಯುರ್ವೇದ ಔಷಧಿಗಳು ಈ ವೈರಸ್‌ನಿಂದ ನನ್ನನ್ನು ರಕ್ಷಿಸುತ್ತವೆ.,হোমিওপেথিক আৰু/বা আয়ুর্বেদিক দৰবে মোক এই ৰোগৰ পৰা বছাব।,Ki dawai Homeopathic bad/lane Ayurvedic ki їarap їa nga ban їada na une u virus.,ہومیوپیتھک اور/ یا آیورویدیک دوائیں ہمیں اس وائرس سے بچاِئیں گی۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!,सत्य होइन । ,কোনো প্রমাণ নেই।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,होमिओपॅथिक आणि / किंवा आयुर्वेदिक आौषधांनी ह्या विषाणूपासून बचाव अथवा कोविड-१९ रोगावर उपचार होऊ शकतो हे सिद्ध करणारे पुरेसे पुरावे उपलब्ध नाहीत. आजपर्यंत अशा कोणत्याही औषधाच्या मानवीय चाचण्या केल्या गेलेल्या नाहीत.,इस बात का अभी तक पर्याप्त प्रमाण नहीं है की होमियोपैथी और / या आयुर्वैदिक दवाइयाँ मनुष्य को कोविड-१९ से बचा सकती हैं या उसका इलाज कर सकती हैं।  इस प्रकार कि किसी भी औषधि का अभी तक मानवों पर वैज्ञानिक परीक्षण नहीं किया गया है। ,ഹോമിയോപ്പതിക്കോ ആയുർവേദത്തിനോ COVID-19 ൽ നിന്ന് നിങ്ങളെ സംരക്ഷിക്കുവാനൊ സുഖപ്പെടുത്താനോ കഴിയുമെന്ന് സൂചിപ്പിക്കുന്നതിന് മതിയായ തെളിവുകൾ ഇല്ല. ഇന്നുവരെ ഇതുമായി ബന്ധപെട്ടു ക്ലിനിക്കൽ പരീക്ഷണങ്ങളൊന്നും നടത്തിയിട്ടില്ല.,"हालसम्म होमियोप्याथिक वा आयुर्वेदिकले नोबेल कोरोना भाईरस अर्थात् कोभिड-१९ बाट बचाउन वा उपचार गर्न सक्ने कुराको पर्याप्त प्रमाणहरु भेटिदैनन।  यस सम्बन्धि हालसम्म कुनै क्लिनिकल ट्रायल गरिएको गरिएको छैन। क्लिनिकल ट्रायल भनेको कुनै पनि औषधि बजारमा जानु भन्दा पहिले उक्त औषधिले गर्ने भनिएको उपचार गर्छ/गर्दैन निर्क्योल गर्ने परिक्षण हो।  
","এখনও পর্যন্ত এমন কোন উদাহরণ নেই যার দ্বারা এটা প্রমাণ করা সম্ভব যে, 
হোমিওপ্যাথি   বা আয়ুর্বেদিক ওষুধ কোভিড-১৯ এর সংক্রমণ  কিংবা নিরাময় করতে 
সক্ষম। আজ পর্যন্ত কোনো ডাক্তারি পরীক্ষা করা হয়নি।","હોમિયોપેથી અથવા આયુર્વેદ સૂચવવા માટે પૂરતા પુરાવા નથી, તે ક્યાં તો કોવિડ -19 ચેપથી સુરક્ષિત અથવા ઉપચાર કરી શકે છે. આજદિન સુધી કોઈ ક્લિનિકલ ટ્રાયલ કરવામાં આવી નથી.",ਸਾਡੇ ਕੋਲ ਇਹ ਸੁਝਾਉਣ ਲਈ ਸਬੂਤ ਨਹੀਂ ਹਨ ਕਿ ਹੋਮਿਓਪੈਥੀ ਜਾਂ ਆਯੁਰਵੈਦ ਕਿਸੇ ਨਾਵਲ ਕੋਰੋਨਵਾਇਰਸ ਦੀ ਲਾਗ ਤੋਂ ਬਚਾਅ ਕਰ ਸਕਦੇ ਹਨ ਜਾਂ ਠੀਕ ਕਰ ਸਕਦੇ ਹਨ. ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ 'ਤੇ ਅਜੇ ਤਕ ਅਜਿਹੀਆਂ ਦਵਾਈਆਂ ਦੇ ਕਲੀਨਿਕਲ ਟਰਾਇਲ ਨਹੀਂ ਕੀਤੇ ਗਏ ਹਨ.," ஹோமியோபதி அல்லது ஆயுர்வேத மருத்துவத்தால் கோவிட் -19
நோய்த்தொற்றிலிருந்து பாதுகாக்கவோ அல்லது குணப்படுத்தவோ முடியும் என்பதற்கு ஆதாரங்கள் இல்லை. இன்றுவரை பிணி சார் மருந்தியக்க ஆய்வுகள் எதுவும் நடத்தப்படவில்லை.","ହୋମିଓପାଥି କିମ୍ବା ଆୟୁର୍ବେଦ COVID-19 ସଂକ୍ରମଣରୁ ରକ୍ଷା କିମ୍ବା ଉପଶମ କରିପାରିବ ବୋଲି କୌଣସି ପ୍ରକାର ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ । ଏହା ପାଇଁ  ଏପର୍ଯ୍ୟନ୍ତ କୌଣସି  କ୍ଲିନିକାଲ୍ ପରୀକ୍ଷା କରାଯାଇ ନାହିଁ  ।",హోమియోపతీ లేదా ఆయుర్వేదాన్ని సూచించటానికి తగిన ఆధారాలు లేవు. ఇప్పటి వరకు ఎలాంటి ఔషధ పరిశోధన )క్లినికల్ ట్రయల్స్( చేయలేదు.,ಹೋಮಿಯೋಪತಿ ಅಥವಾ ಆಯುರ್ವೇದವು COVID-19 ಸೋಂಕಿನಿಂದ ರಕ್ಷಿಸಬಹುದು ಅಥವಾ ಗುಣಪಡಿಸಬಹುದು ಎಂದು ಸೂಚಿಸಲು ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ. ಇಲ್ಲಿಯವರೆಗೆ ಯಾವುದೇ ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗಗಳು ನಡೆದಿಲ್ಲ.,আয়ুর্বেদিক আৰু/বা হোমিওপেথিয়ে এই ৰোগ বা ভাইৰাছক(Covid-19) বাধা দিব পাৰে বুলি আমাৰ হাতত পর্যাপ্ত প্ৰমাণ নাই। এতিয়ালৈকে কোনো তেনে গবেষণা কৰা হোৱা নাই।,"Ym shym la don ki sakhi sabut kiba biang ban ai jingmut ba ka homeopathy lane ka ayurveda kan lah ban їada lane ban sumar їa ka jingpynbit jingpang u COVID-19. Haduh mynta, ym pat don ka jingpyrshang ha kano kano ka jaka thiah pang.",ہمیو پیتھک یا آیورویدک دوا ؤں میں کوویڈ – ١٩ سے ہمارا بچاؤ یا علاج ممکن ہے ایسی تجویز کے لیے مناسب ثبوت نہیں ملے ہیں۔ ابھی تک کلینیکل ٹرائل نہیں ہوئے ہیں۔
Image 3,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,मांसाहारी अन्न खाल्याने हा रोग होण्याची शक्यता जास्त असते.,मांसाहारी भोजन खाने से इस रोग के संक्रमण का खतरा बढ़ जाता है।  ,മാംസാഹാരം കഴിക്കുന്നത് അണുബാധയ്ക്കുള്ള സാധ്യത വർദ്ധിപ്പിക്കുന്നു,"मांसाहारी खान खानाले संक्रमणको सम्भावना बढ्छ। 
",আমিষ জাতীয় খাদ্য গ্রহণ করোনা ভাইরাস এর সংক্রমণ এর প্রবণতা বাড়িয়ে দেয়।,માંસાહારી ખોરાક ખાવાથી ચેપનું જોખમ વધે છે.,ਮਾਸਾਹਾਰੀ ਭੋਜਨ ਖਾਣ ਨਾਲ ਲਾਗ ਦਾ ਖ਼ਤਰਾ ਵੱਧ ਜਾਂਦਾ ਹੈ.,அசைவ உணவை உட்கொள்வது தொற்றுநோயை அதிகரிக்கும்., ଆମିଷ ଖାଦ୍ୟ ଖାଇବା ଦ୍ୱାରା ସଂକ୍ରମଣର ଆଶଙ୍କା ବଢିଯାଏ |,మాంసాహారం తినడం వల్ల సంక్రమణ )ఇన్ ఫెక్షన్( వచ్చే ప్రమాదం పెరుగుతుంది.,ಮಾಂಸಾಹಾರಿ ಆಹಾರವನ್ನು ಸೇವಿಸುವುದರಿಂದ ಸೋಂಕಿನ ಅಪಾಯ ಹೆಚ್ಚಾಗುತ್ತದೆ.,আমিষ ভোজনে এই ৰোগৰ সংক্ৰমণ কৰিব পাৰে / আমিষ ভোজন এই ৰোগৰ বাবে বিপদজনক।,Ka jingbam їa ki doh ka pynjur їa ka jingma ban bit jingpang.,گوشت کھانے سے اس متعدی مرض کا خطرہ بڑھ جاتا ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর: ,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!,"सत्य होइन । ",সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,नीट स्वच्छ केलेल्या आणि नीट शिजवलेल्या शाकाहारी आणि मांसाहारी अन्नपदार्थांपासून या रोगाचा कोणताही धोका नाही. अन्न शिजवण्याच्या प्रक्रियेत त्यांतील विषाणूंचा नाश होतो किंवा ते निष्प्रभ होतात.,अच्छी तरह से साफ़ किया हुआ और अच्छी तरह से पकाया हुआ मांसाहारी या शाकाहारी भोजन खाने में किसी प्रकार का खतरा नहीं है। खाना पकाने  कि प्रक्रिया विषाणु को निष्क्रिय या नष्ट कर देती है।,നന്നായി വൃത്തിയാക്കിയതും വേവിച്ചതുമായ മാംസാഹാരവും സസ്യാഹാരവും കഴിക്കുന്നത് അപകടകരമല്ല. പാചകം ചെയ്യുന്ന പ്രക്രിയ വൈറസുകളെ നശിപ്പിക്കുകയോ നിർജ്ജീവമാക്കുകയോ ചെയ്യുന്നു.,"राम्रोसंग सफा गरिएको र पकाईएको शाकाहारी वा मांसाहारी खान खाँदा कुनै जोखिम छैन।  राम्रोसंग पकाउँदा भाईरस नष्ट वा निस्क्रिय हुन्छ। ","সঠিকভাবে ধোয়া এবং রান্না করা আমিষ বা নিরামিষ খাবার বিপজ্জনক নয়। রান্না 
করার  প্রক্রিয়ায় ভাইরাস নিষ্ক্রিয় হয়ে যায় কিংবা মারা যায়।",સારી રીતે સાફ અને રાંધેલા માંસાહારી અથવા શાકાહારી ખાવાનું જોખમી નથી. રસોઈની પ્રક્રિયા વાયરસનો નાશ કરે છે અથવા નિષ્ક્રિય કરે છે.,ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਾਫ਼ ਅਤੇ ਸਹੀ ਤਰ੍ਹਾਂ ਪਕਾਏ ਜਾਣ ਵਾਲੇ ਮਾਸਾਹਾਰੀ ਜਾਂ ਸ਼ਾਕਾਹਾਰੀ ਭੋਜਨ ਖਾਣਾ ਜੋਖਮ ਭਰਿਆ ਨਹੀਂ ਹੈ. ਖਾਣਾ ਪਕਾਉਣ ਦੀ ਪ੍ਰਕਿਰਿਆ ਵਾਇਰਸਾਂ ਨੂੰ ਨਸ਼ਟ ਜਾਂ ਅਯੋਗ ਕਰ ਦਿੰਦੀ ਹੈ.,நன்கு சுத்தம் செய்யப்பட்டு சமைத்த அசைவ அல்லது சைவ உணவை உண்பதில் எந்த தீங்கும் இல்லை. சமைக்கும் போது வெப்பம் வைரஸ்களை அழிக்கிறது அல்லது செயலிழக்க செய்கிறது.,"ପରିଷ୍କାର ଏବଂ ରନ୍ଧା ହୋଇଥିବା ନିରାମିଷ  କିମ୍ବା ଆମିଷ ଖାଦ୍ୟ ଖାଇବା ବିପଦଜନକ ନୁହେଁ | ରାନ୍ଧିବା ପ୍ରକ୍ରିୟା ଭୂତାଣୁକୁ ନଷ୍ଟ କିମ୍ବା ନିଷ୍କ୍ରିୟ କରିଦିଏ |",బాగా శుభ్రం చేసి వండిన మాంసాహారం లేదా శాకాహారం తినడం ప్రమాదకరం కాదు. వంట చేసే విధానం వైరస్ లను నాశనం చేస్తుంది.,ಚೆನ್ನಾಗಿ ಸ್ವಚ್ಛಗೊಳಿಸಿದ ಮತ್ತು ಬೇಯಿಸಿದ ಮಾಂಸಾಹಾರಿ ಅಥವಾ ಸಸ್ಯಾಹಾರಿ ಆಹಾರವನ್ನು ಸೇವಿಸುವುದು ಅಪಾಯಕಾರಿ ಅಲ್ಲ. ಅಡುಗೆ ಪ್ರಕ್ರಿಯೆಯು ವೈರಸ್‌ಗಳನ್ನು ನಾಶಪಡಿಸುತ್ತದೆ ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ.,চাফ চিকুনকৈ আৰু ভালদৰে সিজাই খালে কোনো খাদ্যই বিপদজনক নহয়। খাদ্য বনোবাৰ প্ৰণালীয়ে ভাইৰাছ বিধক নষ্ট কৰি দিয়ে।,Kaba bam їa ki jingbam kata ki doh bad ki jhur ba la pynkhuid bad shet bha kam wan rah їa ka jingma. Ka jingshet bha їa ki jingbam ka pyntroiñ bad pynduh bor їa ki virus.,اچھے سےصاف کی گئی اور پکی ہوئی سبزی یا گوشت کھانا خطرناک نہیں ہے۔ کھانا پکانے کا عمل وائرس کو ختم یا غیرفعال کر دیتا ہے۔
Image 4,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
